occupation,count,share,cumulative_share,ksco_major_code,ksco_major_label,rule_hit,needs_review
기자,173,0.000173,0.945951,other,기타/검토,no_rule,yes
"전직 품질 관리 사무원, 현재 구직중",173,0.000173,0.946124,unemployed,무직/비경제활동,contains:구직중,
시멘트공학 기술자 및 연구원,172,0.000172,0.946296,2,전문가 및 관련 종사자,suffix:연구원,
건물용 보일러 설치 및 정비원,171,0.000171,0.946467,7,기능원 및 관련 기능 종사자,contains:설치,
그 외 법률 전문가,170,0.00017,0.946637,2,전문가 및 관련 종사자,suffix:전문가,
"전직 철도운송 관련 종사원, 현재 구직중",169,0.000169,0.946806,unemployed,무직/비경제활동,contains:구직중,
전기기기 설치 및 정비원,169,0.000169,0.946975,7,기능원 및 관련 기능 종사자,contains:설치,
호이스트 운전원,167,0.000167,0.947142,8,장치·기계 조작 및 조립 종사자,contains:운전원,
압출기 조작원,165,0.000165,0.947307,8,장치·기계 조작 및 조립 종사자,contains:조작원,
염색 개발 공학 기술자 및 연구원,165,0.000165,0.947472,2,전문가 및 관련 종사자,suffix:연구원,
세탁원 및 다림질원,164,0.000164,0.947636,9,단순노무 종사자,contains:세탁원,
임상영양사,163,0.000163,0.947799,2,전문가 및 관련 종사자,suffix:영양사,
건축자재 영업원,162,0.000162,0.947961,5,판매 종사자,contains:영업,
"전직 경·소형 화물차 운전원, 현재 구직중",162,0.000162,0.948123,unemployed,무직/비경제활동,contains:구직중,
전자제품 제조 기계 조작원,162,0.000162,0.948285,8,장치·기계 조작 및 조립 종사자,contains:조작원,
스포츠 매니저,162,0.000162,0.948447,other,기타/검토,no_rule,yes
그 외 산업 전기 설치원,161,0.000161,0.948608,7,기능원 및 관련 기능 종사자,contains:설치,
의료 서비스 상담 종사원,161,0.000161,0.948769,4,서비스 종사자,contains:서비스,
미장공,160,0.00016,0.948929,other,기타/검토,no_rule,yes
그 외 상하수도 처리 장치 조작원,160,0.00016,0.949089,8,장치·기계 조작 및 조립 종사자,contains:조작원,
소각로 조작원,160,0.00016,0.949249,8,장치·기계 조작 및 조립 종사자,contains:조작원,
전기 및 전자 제품 생산 관리자,159,0.000159,0.949408,1,관리자,contains:관리자,
그 외 마케팅 및 광고·홍보 관리자,159,0.000159,0.949567,1,관리자,contains:관리자,
"전직 식품 영업원, 현재 구직중",159,0.000159,0.949726,unemployed,무직/비경제활동,contains:구직중,
보도블록 설치원,158,0.000158,0.949884,7,기능원 및 관련 기능 종사자,contains:설치,
그 외 금속 및 재료 공학 시험원,158,0.000158,0.950042,other,기타/검토,no_rule,yes
금속 분무기 조작원,156,0.000156,0.950198,8,장치·기계 조작 및 조립 종사자,contains:조작원,
광고 디자이너,154,0.000154,0.950352,2,전문가 및 관련 종사자,suffix:디자이너,
조미료 제분기 조작원,152,0.000152,0.950504,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 승용차 및 승합차 운전원, 현재 구직중",151,0.000151,0.950655,unemployed,무직/비경제활동,contains:구직중,
복지시설 생활 지도원,151,0.000151,0.950806,other,기타/검토,no_rule,yes
그 외 귀금속 및 보석 세공원,151,0.000151,0.950957,other,기타/검토,no_rule,yes
통역가,151,0.000151,0.951108,other,기타/검토,no_rule,yes
조경원,150,0.00015,0.951258,other,기타/검토,no_rule,yes
유원시설 및 테마파크 서비스원,150,0.00015,0.951408,4,서비스 종사자,contains:서비스,
교육 분야 교수,150,0.00015,0.951558,2,전문가 및 관련 종사자,suffix:교수,
조경감리 기술자,149,0.000149,0.951707,2,전문가 및 관련 종사자,suffix:기술자,
거리 미화원,149,0.000149,0.951856,other,기타/검토,no_rule,yes
전시 및 시설 견학 안내원,148,0.000148,0.952004,4,서비스 종사자,contains:안내원,
재활용 처리 기계 조작원,148,0.000148,0.952152,8,장치·기계 조작 및 조립 종사자,contains:조작원,
컴퓨터 하드웨어 기술자 및 연구원,148,0.000148,0.9523,2,전문가 및 관련 종사자,suffix:연구원,
유지 제조기 조작원,148,0.000148,0.952448,8,장치·기계 조작 및 조립 종사자,contains:조작원,
자동차 차체 부품 조립원,147,0.000147,0.952595,8,장치·기계 조작 및 조립 종사자,contains:조립,
경량 철골공,146,0.000146,0.952741,other,기타/검토,no_rule,yes
그 외 정육가공 및 도축 관련 종사원,146,0.000146,0.952887,7,기능원 및 관련 기능 종사자,contains:가공,
수상운송 사무원,145,0.000145,0.953032,3,사무 종사자,suffix:사무원,
전기제품 제조 기계 조작원,145,0.000145,0.953177,8,장치·기계 조작 및 조립 종사자,contains:조작원,
기계공학 시험원,145,0.000145,0.953322,other,기타/검토,no_rule,yes
위성방송 안테나 설치 및 수리원,144,0.000144,0.953466,7,기능원 및 관련 기능 종사자,contains:설치,
"전직 총무 사무원, 현재 구직중",144,0.000144,0.95361,unemployed,무직/비경제활동,contains:구직중,
"전직 조사 전문가, 현재 구직중",144,0.000144,0.953754,unemployed,무직/비경제활동,contains:구직중,
서적·문구 및 음반 판매원,144,0.000144,0.953898,5,판매 종사자,contains:판매,
"전직 경영 컨설턴트, 현재 구직중",143,0.000143,0.954041,unemployed,무직/비경제활동,contains:구직중,
"전직 영업 관리 사무원, 현재 구직중",143,0.000143,0.954184,unemployed,무직/비경제활동,contains:구직중,
그 외 응용 소프트웨어 프로그래머,142,0.000142,0.954326,2,전문가 및 관련 종사자,suffix:프로그래머,
시장 및 여론 조사 관리자,142,0.000142,0.954468,1,관리자,contains:관리자,
분양 및 임대 사무원,142,0.000142,0.95461,3,사무 종사자,suffix:사무원,
그 외 미디어 콘텐츠 디자이너,142,0.000142,0.954752,2,전문가 및 관련 종사자,suffix:디자이너,
그 외 자동차 정비원,142,0.000142,0.954894,7,기능원 및 관련 기능 종사자,contains:정비,
콘크리트 타설원,140,0.00014,0.955034,other,기타/검토,no_rule,yes
해군 장교,140,0.00014,0.955174,A,군인,contains:장교,
광고 및 홍보 관리자,140,0.00014,0.955314,1,관리자,contains:관리자,
형틀 목공,140,0.00014,0.955454,7,기능원 및 관련 기능 종사자,contains:목공,
시계 및 카메라 수리원,140,0.00014,0.955594,7,기능원 및 관련 기능 종사자,contains:수리,
"전직 국가행정 사무원, 현재 구직중",139,0.000139,0.955733,unemployed,무직/비경제활동,contains:구직중,
전기 부품 제조 기계 조작원,138,0.000138,0.955871,8,장치·기계 조작 및 조립 종사자,contains:조작원,
전기 및 전자 장비 제도사,138,0.000138,0.956009,7,기능원 및 관련 기능 종사자,contains:제도사,
기계제품 생산 관리자,138,0.000138,0.956147,1,관리자,contains:관리자,
통신장비 기술자 및 연구원,138,0.000138,0.956285,2,전문가 및 관련 종사자,suffix:연구원,
항공기·철도 차량 공학 기술자 및 연구원,137,0.000137,0.956422,2,전문가 및 관련 종사자,suffix:연구원,
직업 운동선수,137,0.000137,0.956559,other,기타/검토,no_rule,yes
그 외 판매 및 고객 서비스 관리자,136,0.000136,0.956695,1,관리자,contains:관리자,
치료사 보조원,136,0.000136,0.956831,2,전문가 및 관련 종사자,contains:치료사,
건물 해체원,136,0.000136,0.956967,other,기타/검토,no_rule,yes
윤전인쇄기 조작원,135,0.000135,0.957102,8,장치·기계 조작 및 조립 종사자,contains:조작원,
타일 부착원,135,0.000135,0.957237,other,기타/검토,no_rule,yes
"전직 단말기 및 통신 서비스 판매원, 현재 구직중",134,0.000134,0.957371,unemployed,무직/비경제활동,contains:구직중,
그 외 목재가공 관련 기계 조작원,134,0.000134,0.957505,8,장치·기계 조작 및 조립 종사자,contains:조작원,
인쇄 필름 출력원,133,0.000133,0.957638,7,기능원 및 관련 기능 종사자,contains:인쇄,
목형원,133,0.000133,0.957771,other,기타/검토,no_rule,yes
기업 인수 및 합병 전문가,133,0.000133,0.957904,2,전문가 및 관련 종사자,suffix:전문가,
제관기 조작원,133,0.000133,0.958037,8,장치·기계 조작 및 조립 종사자,contains:조작원,
방역원,132,0.000132,0.958169,other,기타/검토,no_rule,yes
조적공,131,0.000131,0.9583,other,기타/검토,no_rule,yes
그 외 플라스틱제품 생산기 조작원,131,0.000131,0.958431,8,장치·기계 조작 및 조립 종사자,contains:조작원,
그라비어인쇄기 조작원,131,0.000131,0.958562,8,장치·기계 조작 및 조립 종사자,contains:조작원,
사회과학·경영 및 법학 교수,130,0.00013,0.958692,2,전문가 및 관련 종사자,suffix:교수,
플라스틱 사출기 조작원,130,0.00013,0.958822,8,장치·기계 조작 및 조립 종사자,contains:조작원,
그 외 운송장비 정비원,130,0.00013,0.958952,7,기능원 및 관련 기능 종사자,contains:정비,
경호원,130,0.00013,0.959082,4,서비스 종사자,contains:경호,
마루 설치원,130,0.00013,0.959212,7,기능원 및 관련 기능 종사자,contains:설치,
곡물 및 사료 제분기 조작원,129,0.000129,0.959341,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 지방행정 사무원, 현재 구직중",128,0.000128,0.959469,unemployed,무직/비경제활동,contains:구직중,
그 외 사회복지 관련 종사원,128,0.000128,0.959597,4,서비스 종사자,contains:사회복지,
철로 보수원,128,0.000128,0.959725,other,기타/검토,no_rule,yes
그 외 세탁 관련 기계 조작원,127,0.000127,0.959852,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 관리 비서, 현재 구직중",127,0.000127,0.959979,unemployed,무직/비경제활동,contains:구직중,
드라이클리닝기 조작원,126,0.000126,0.960105,8,장치·기계 조작 및 조립 종사자,contains:조작원,
유리 부착원,126,0.000126,0.960231,7,기능원 및 관련 기능 종사자,contains:유리,
금속제품 생산 관리자,125,0.000125,0.960356,1,관리자,contains:관리자,
국수 및 면류 제품 기계 조작원,125,0.000125,0.960481,8,장치·기계 조작 및 조립 종사자,contains:조작원,
전기 도금기 조작원,125,0.000125,0.960606,8,장치·기계 조작 및 조립 종사자,contains:조작원,
그 외 제품 생산 관련 관리자,124,0.000124,0.96073,1,관리자,contains:관리자,
치과기공사,124,0.000124,0.960854,other,기타/검토,no_rule,yes
전통 건물 건축원,124,0.000124,0.960978,other,기타/검토,no_rule,yes
감시카메라 설치 및 수리원,123,0.000123,0.961101,7,기능원 및 관련 기능 종사자,contains:설치,
발전터빈 조작원,122,0.000122,0.961223,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 음료 서비스 종사원, 현재 구직중",122,0.000122,0.961345,unemployed,무직/비경제활동,contains:구직중,
편직기 조작원,122,0.000122,0.961467,8,장치·기계 조작 및 조립 종사자,contains:조작원,
카지노 딜러,122,0.000122,0.961589,other,기타/검토,no_rule,yes
"전직 전기 용접원, 현재 구직중",121,0.000121,0.96171,unemployed,무직/비경제활동,contains:구직중,
비계공,121,0.000121,0.961831,other,기타/검토,no_rule,yes
"전직 간호조무사, 현재 구직중",121,0.000121,0.961952,unemployed,무직/비경제활동,contains:구직중,
열차 객실 승무원,121,0.000121,0.962073,4,서비스 종사자,contains:승무원,
그 외 조경 관련 기술자,120,0.00012,0.962193,2,전문가 및 관련 종사자,suffix:기술자,
그 외 곡물가공 제품 기계 조작원,119,0.000119,0.962312,8,장치·기계 조작 및 조립 종사자,contains:조작원,
그 외 환경공학 기술자 및 연구원,119,0.000119,0.962431,2,전문가 및 관련 종사자,suffix:연구원,
정보 통신기술 분야 교수,119,0.000119,0.96255,2,전문가 및 관련 종사자,suffix:교수,
대리석 부착원,118,0.000118,0.962668,other,기타/검토,no_rule,yes
스포츠 강사 및 트레이너,118,0.000118,0.962786,other,기타/검토,no_rule,yes
고무제품 생산기 조작원,117,0.000117,0.962903,8,장치·기계 조작 및 조립 종사자,contains:조작원,
그 외 목재 및 종이 관련 기계 조작원,117,0.000117,0.96302,8,장치·기계 조작 및 조립 종사자,contains:조작원,
가정용 전기 및 전자제품 조립원,117,0.000117,0.963137,8,장치·기계 조작 및 조립 종사자,contains:조립,
보험 관리자,116,0.000116,0.963253,1,관리자,contains:관리자,
청각장애인 특수교육 교사,116,0.000116,0.963369,2,전문가 및 관련 종사자,suffix:교사,
건축구조 기술자,115,0.000115,0.963484,2,전문가 및 관련 종사자,suffix:기술자,
주조기 조작원,115,0.000115,0.963599,8,장치·기계 조작 및 조립 종사자,contains:조작원,
유치원 원장,115,0.000115,0.963714,other,기타/검토,no_rule,yes
그 외 물품 이동 장비 설치 및 정비원,114,0.000114,0.963828,8,장치·기계 조작 및 조립 종사자,contains:물품 이동 장비,
굴삭기 및 불도저 운전원,113,0.000113,0.963941,8,장치·기계 조작 및 조립 종사자,contains:운전원,
"전직 건설 단순 종사원, 현재 구직중",113,0.000113,0.964054,unemployed,무직/비경제활동,contains:구직중,
도배공,112,0.000112,0.964166,other,기타/검토,no_rule,yes
신용 추심원,111,0.000111,0.964277,other,기타/검토,no_rule,yes
육상운송 관련 관리자,111,0.000111,0.964388,1,관리자,contains:관리자,
섬유공학 시험원,111,0.000111,0.964499,other,기타/검토,no_rule,yes
도정기 조작원,110,0.00011,0.964609,8,장치·기계 조작 및 조립 종사자,contains:조작원,
감사 사무원,110,0.00011,0.964719,3,사무 종사자,suffix:사무원,
"전직 건물 내 전기 설치 및 정비원, 현재 구직중",110,0.00011,0.964829,unemployed,무직/비경제활동,contains:구직중,
그 외 석유 및 화학물 가공 장치 조작원,110,0.00011,0.964939,8,장치·기계 조작 및 조립 종사자,contains:조작원,
전자 의료기기 개발 기술자 및 연구원,109,0.000109,0.965048,2,전문가 및 관련 종사자,suffix:연구원,
"전직 상품 기획자, 현재 구직중",109,0.000109,0.965157,unemployed,무직/비경제활동,contains:구직중,
펄프 제조 장치 조작원,109,0.000109,0.965266,8,장치·기계 조작 및 조립 종사자,contains:조작원,
일반 한의사,108,0.000108,0.965374,2,전문가 및 관련 종사자,suffix:의사,
냉동 및 냉장기 설비 조작원,108,0.000108,0.965482,8,장치·기계 조작 및 조립 종사자,contains:조작원,
비행기 조종사,108,0.000108,0.96559,other,기타/검토,no_rule,yes
도축원,107,0.000107,0.965697,other,기타/검토,no_rule,yes
입장권 판매원,106,0.000106,0.965803,5,판매 종사자,contains:판매,
사진작가,105,0.000105,0.965908,other,기타/검토,no_rule,yes
가구 수리원,105,0.000105,0.966013,7,기능원 및 관련 기능 종사자,contains:수리,
금속 주입원,105,0.000105,0.966118,other,기타/검토,no_rule,yes
가스 및 에너지 시험원,105,0.000105,0.966223,other,기타/검토,no_rule,yes
대여 제품 방문 점검원,104,0.000104,0.966327,other,기타/검토,no_rule,yes
보건 위생 검사원,104,0.000104,0.966431,other,기타/검토,no_rule,yes
단조원,103,0.000103,0.966534,other,기타/검토,no_rule,yes
방문 판매원,103,0.000103,0.966637,5,판매 종사자,contains:판매,
소방관,103,0.000103,0.96674,4,서비스 종사자,contains:소방,
플라스틱 압출기 조작원,102,0.000102,0.966842,8,장치·기계 조작 및 조립 종사자,contains:조작원,
위생용 종이제품 제조기 조작원,102,0.000102,0.966944,8,장치·기계 조작 및 조립 종사자,contains:조작원,
기술 감독,102,0.000102,0.967046,other,기타/검토,no_rule,yes
그 외 섬유 및 가죽 관련 기능 종사원,102,0.000102,0.967148,7,기능원 및 관련 기능 종사자,contains:기능,
제직기 조작원,101,0.000101,0.967249,8,장치·기계 조작 및 조립 종사자,contains:조작원,
고무제품 조립원,101,0.000101,0.96735,8,장치·기계 조작 및 조립 종사자,contains:조립,
수리 및 정비 관련 관리자,101,0.000101,0.967451,1,관리자,contains:관리자,
비파괴 검사원,101,0.000101,0.967552,other,기타/검토,no_rule,yes
구두 수선원,101,0.000101,0.967653,other,기타/검토,no_rule,yes
영상 및 음향장비 조립원,101,0.000101,0.967754,8,장치·기계 조작 및 조립 종사자,contains:조립,
수동 상표 부착원,100,0.0001,0.967854,other,기타/검토,no_rule,yes
해병대 장교,100,0.0001,0.967954,A,군인,contains:장교,
주차 안내원,100,0.0001,0.968054,4,서비스 종사자,contains:안내원,
전통차 조리사,100,0.0001,0.968154,4,서비스 종사자,contains:조리사,
토목감리 기술자,99,9.9e-05,0.968253,2,전문가 및 관련 종사자,suffix:기술자,
"전직 그 외 물품 이동 장비 조작원, 현재 구직중",99,9.9e-05,0.968352,unemployed,무직/비경제활동,contains:구직중,
이벤트 전문가,98,9.8e-05,0.96845,2,전문가 및 관련 종사자,suffix:전문가,
타이어 생산기 조작원,98,9.8e-05,0.968548,8,장치·기계 조작 및 조립 종사자,contains:조작원,
한약사,98,9.8e-05,0.968646,2,전문가 및 관련 종사자,suffix:약사,
도로포장기 및 롤러 운전원,97,9.7e-05,0.968743,8,장치·기계 조작 및 조립 종사자,contains:운전원,
전동차 정비원,97,9.7e-05,0.96884,7,기능원 및 관련 기능 종사자,contains:정비,
치과 전문 의사,97,9.7e-05,0.968937,2,전문가 및 관련 종사자,suffix:의사,
식품공학 시험원,96,9.6e-05,0.969033,other,기타/검토,no_rule,yes
문화 관광 및 숲·자연환경 해설사,96,9.6e-05,0.969129,other,기타/검토,no_rule,yes
그 외 조적공 및 석재 부설원,95,9.5e-05,0.969224,other,기타/검토,no_rule,yes
굴착기·착암기 및 채광기 조작원,95,9.5e-05,0.969319,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 관세행정 사무원, 현재 구직중",95,9.5e-05,0.969414,unemployed,무직/비경제활동,contains:구직중,
보험 심사원,95,9.5e-05,0.969509,other,기타/검토,no_rule,yes
여객차 및 화차 정비원,94,9.4e-05,0.969603,7,기능원 및 관련 기능 종사자,contains:정비,
"전직 그 외 돌봄 및 보건 서비스 종사원, 현재 구직중",94,9.4e-05,0.969697,unemployed,무직/비경제활동,contains:구직중,
항해사,93,9.3e-05,0.96979,other,기타/검토,no_rule,yes
이용사,93,9.3e-05,0.969883,4,서비스 종사자,contains:이용사,
전자공학 시험원,93,9.3e-05,0.969976,other,기타/검토,no_rule,yes
압연기 조작원,93,9.3e-05,0.970069,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 일식 조리사, 현재 구직중",93,9.3e-05,0.970162,unemployed,무직/비경제활동,contains:구직중,
그 외 환경공학 관련 시험원,93,9.3e-05,0.970255,other,기타/검토,no_rule,yes
피부 관리사,93,9.3e-05,0.970348,other,기타/검토,no_rule,yes
"전직 특허 사무원, 현재 구직중",93,9.3e-05,0.970441,unemployed,무직/비경제활동,contains:구직중,
증권 사무원,93,9.3e-05,0.970534,3,사무 종사자,suffix:사무원,
"전직 상·하수 배관공, 현재 구직중",92,9.2e-05,0.970626,unemployed,무직/비경제활동,contains:구직중,
보건 및 복지 교수,92,9.2e-05,0.970718,2,전문가 및 관련 종사자,suffix:교수,
가구 도장기 조작원,92,9.2e-05,0.97081,8,장치·기계 조작 및 조립 종사자,contains:조작원,
공조기설비 조작원,92,9.2e-05,0.970902,8,장치·기계 조작 및 조립 종사자,contains:조작원,
멀티미디어 디자이너,92,9.2e-05,0.970994,2,전문가 및 관련 종사자,suffix:디자이너,
환경 관련 관리자,91,9.1e-05,0.971085,1,관리자,contains:관리자,
수날염원,91,9.1e-05,0.971176,other,기타/검토,no_rule,yes
"전직 바텐더, 현재 구직중",91,9.1e-05,0.971267,unemployed,무직/비경제활동,contains:구직중,
"전직 텔레마케터, 현재 구직중",91,9.1e-05,0.971358,unemployed,무직/비경제활동,contains:구직중,
철도차량 조립원,91,9.1e-05,0.971449,8,장치·기계 조작 및 조립 종사자,contains:철도,
수질 환경 기술자 및 연구원,90,9e-05,0.971539,2,전문가 및 관련 종사자,suffix:연구원,
요업·세라믹공학 기술자 및 연구원,89,8.9e-05,0.971628,2,전문가 및 관련 종사자,suffix:연구원,
방사선사,88,8.8e-05,0.971716,other,기타/검토,no_rule,yes
그 외 식품가공 관련 기계 조작원,88,8.8e-05,0.971804,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 범용 소프트웨어 프로그래머, 현재 구직중",87,8.7e-05,0.971891,unemployed,무직/비경제활동,contains:구직중,
문학작가,87,8.7e-05,0.971978,other,기타/검토,no_rule,yes
시멘트공학 시험원,87,8.7e-05,0.972065,other,기타/검토,no_rule,yes
"전직 인사 및 노무 사무원, 현재 구직중",87,8.7e-05,0.972152,unemployed,무직/비경제활동,contains:구직중,
공업기계 조립원,87,8.7e-05,0.972239,8,장치·기계 조작 및 조립 종사자,contains:조립,
석유화학 시험원,86,8.6e-05,0.972325,other,기타/검토,no_rule,yes
조경 계획 및 설계 기술자,86,8.6e-05,0.972411,2,전문가 및 관련 종사자,suffix:기술자,
석 공예원,85,8.5e-05,0.972496,other,기타/검토,no_rule,yes
의료과학 시험원,85,8.5e-05,0.972581,other,기타/검토,no_rule,yes
카펫 및 가발 제조원,84,8.4e-05,0.972665,other,기타/검토,no_rule,yes
주방장,84,8.4e-05,0.972749,4,서비스 종사자,contains:주방,
선박 배관공,84,8.4e-05,0.972833,8,장치·기계 조작 및 조립 종사자,contains:선박,
"전직 그 외 기획 및 마케팅 사무원, 현재 구직중",84,8.4e-05,0.972917,unemployed,무직/비경제활동,contains:구직중,
"전직 강구조물 건립원, 현재 구직중",83,8.3e-05,0.973,unemployed,무직/비경제활동,contains:구직중,
수의사 보조원,83,8.3e-05,0.973083,3,사무 종사자,suffix:보조원,
종이 제조 장치 조작원,83,8.3e-05,0.973166,8,장치·기계 조작 및 조립 종사자,contains:조작원,
토목안전 기술자,83,8.3e-05,0.973249,2,전문가 및 관련 종사자,suffix:기술자,
그 외 토목 관련 기술자,83,8.3e-05,0.973332,2,전문가 및 관련 종사자,suffix:기술자,
그 외 직조기 및 편직기 조작원,83,8.3e-05,0.973415,8,장치·기계 조작 및 조립 종사자,contains:조작원,
컴퓨터 운영 관리자,83,8.3e-05,0.973498,1,관리자,contains:관리자,
도시 계획 및 설계가,83,8.3e-05,0.973581,2,전문가 및 관련 종사자,contains:설계,
항공기 배관공,83,8.3e-05,0.973664,7,기능원 및 관련 기능 종사자,contains:배관,
시추장비 조작원,82,8.2e-05,0.973746,8,장치·기계 조작 및 조립 종사자,contains:조작원,
대학 행정조교,82,8.2e-05,0.973828,other,기타/검토,no_rule,yes
그 외 석유 및 천연가스 제조 관련 제어 장치 조작원,82,8.2e-05,0.97391,8,장치·기계 조작 및 조립 종사자,contains:조작원,
공동주택 관리자,81,8.1e-05,0.973991,1,관리자,contains:관리자,
"전직 중식 조리사, 현재 구직중",81,8.1e-05,0.974072,unemployed,무직/비경제활동,contains:구직중,
"전직 가사 도우미, 현재 구직중",81,8.1e-05,0.974153,unemployed,무직/비경제활동,contains:구직중,
소음 진동 기술자 및 연구원,81,8.1e-05,0.974234,2,전문가 및 관련 종사자,suffix:연구원,
임상병리사,81,8.1e-05,0.974315,2,전문가 및 관련 종사자,contains:임상,
경기 심판,80,8e-05,0.974395,other,기타/검토,no_rule,yes
노무사,79,7.9e-05,0.974474,2,전문가 및 관련 종사자,suffix:노무사,
자동차 조립원,79,7.9e-05,0.974553,8,장치·기계 조작 및 조립 종사자,contains:조립,
증권 중개인,79,7.9e-05,0.974632,5,판매 종사자,contains:중개인,
축산 및 수의학 연구원,79,7.9e-05,0.974711,2,전문가 및 관련 종사자,suffix:연구원,
인터넷케이블 설치 및 수리원,78,7.8e-05,0.974789,7,기능원 및 관련 기능 종사자,contains:설치,
전기공학 시험원,78,7.8e-05,0.974867,other,기타/검토,no_rule,yes
인화지 제조기 조작원,78,7.8e-05,0.974945,8,장치·기계 조작 및 조립 종사자,contains:조작원,
감독 및 연출가,78,7.8e-05,0.975023,other,기타/검토,no_rule,yes
그 외 건설 및 채굴기계 운전원,77,7.7e-05,0.9751,8,장치·기계 조작 및 조립 종사자,contains:운전원,
조선공학 기술자 및 연구원,77,7.7e-05,0.975177,2,전문가 및 관련 종사자,suffix:연구원,
반려동물 훈련사,77,7.7e-05,0.975254,other,기타/검토,no_rule,yes
"전직 수동 포장원, 현재 구직중",77,7.7e-05,0.975331,unemployed,무직/비경제활동,contains:구직중,
교육 분야 시간강사,77,7.7e-05,0.975408,2,전문가 및 관련 종사자,suffix:강사,
선박 기관사,77,7.7e-05,0.975485,8,장치·기계 조작 및 조립 종사자,contains:기관사,
인발기 조작원,77,7.7e-05,0.975562,8,장치·기계 조작 및 조립 종사자,contains:조작원,
건물 수리원,77,7.7e-05,0.975639,7,기능원 및 관련 기능 종사자,contains:수리,
평론가,77,7.7e-05,0.975716,other,기타/검토,no_rule,yes
비상 발전기 설치 및 정비원,76,7.6e-05,0.975792,7,기능원 및 관련 기능 종사자,contains:설치,
토목구조 설계 기술자,76,7.6e-05,0.975868,2,전문가 및 관련 종사자,suffix:기술자,
공학·제조 및 건설 분야 시간강사,76,7.6e-05,0.975944,2,전문가 및 관련 종사자,suffix:강사,
철도 기관차 정비원,76,7.6e-05,0.97602,8,장치·기계 조작 및 조립 종사자,contains:철도,
그 외 건축 관련 기술자,76,7.6e-05,0.976096,2,전문가 및 관련 종사자,suffix:기술자,
"전직 법무 사무원, 현재 구직중",76,7.6e-05,0.976172,unemployed,무직/비경제활동,contains:구직중,
약제품 생산기 조작원,75,7.5e-05,0.976247,8,장치·기계 조작 및 조립 종사자,contains:조작원,
그 외 교육 관련 관리자,75,7.5e-05,0.976322,1,관리자,contains:관리자,
헤드헌터,75,7.5e-05,0.976397,other,기타/검토,no_rule,yes
통신케이블 설치 및 수리원,75,7.5e-05,0.976472,7,기능원 및 관련 기능 종사자,contains:설치,
공군 병사,75,7.5e-05,0.976547,A,군인,contains:병사,
주형원,74,7.4e-05,0.976621,other,기타/검토,no_rule,yes
"전직 노인 및 장애인 돌봄 서비스 종사원, 현재 구직중",74,7.4e-05,0.976695,unemployed,무직/비경제활동,contains:구직중,
그 외 유리 제조 및 가공기 조작원,73,7.3e-05,0.976768,8,장치·기계 조작 및 조립 종사자,contains:조작원,
"전직 화장품 판매원, 현재 구직중",73,7.3e-05,0.976841,unemployed,무직/비경제활동,contains:구직중,
"전직 금형원, 현재 구직중",73,7.3e-05,0.976914,unemployed,무직/비경제활동,contains:구직중,
화장품·비누제품 기술자 및 연구원,73,7.3e-05,0.976987,2,전문가 및 관련 종사자,suffix:연구원,
귀금속 세공원,72,7.2e-05,0.977059,other,기타/검토,no_rule,yes
항공운송 사무원,72,7.2e-05,0.977131,3,사무 종사자,suffix:사무원,
"전직 조세행정 사무원, 현재 구직중",72,7.2e-05,0.977203,unemployed,무직/비경제활동,contains:구직중,
드릴링기 및 보링기 조작원,72,7.2e-05,0.977275,8,장치·기계 조작 및 조립 종사자,contains:조작원,
날염기 조작원,71,7.1e-05,0.977346,8,장치·기계 조작 및 조립 종사자,contains:조작원,
정부행정 전문가,70,7e-05,0.977416,2,전문가 및 관련 종사자,suffix:전문가,
임학 연구원,69,6.9e-05,0.977485,2,전문가 및 관련 종사자,suffix:연구원,
수산학 연구원,69,6.9e-05,0.977554,2,전문가 및 관련 종사자,suffix:연구원,
전자 및 정밀 기구 조립원,69,6.9e-05,0.977623,8,장치·기계 조작 및 조립 종사자,contains:조립,
"전직 운송장비 청소원, 현재 구직중",69,6.9e-05,0.977692,unemployed,무직/비경제활동,contains:구직중,
제책 및 재단용 기계 조작원,68,6.8e-05,0.97776,8,장치·기계 조작 및 조립 종사자,contains:조작원,
요업 및 세라믹 공학 시험원,68,6.8e-05,0.977828,other,기타/검토,no_rule,yes
화장품 및 비누제품 시험원,68,6.8e-05,0.977896,other,기타/검토,no_rule,yes
"전직 그 외 조리사, 현재 구직중",68,6.8e-05,0.977964,unemployed,무직/비경제활동,contains:구직중,
건강식품 가공기 조작원,68,6.8e-05,0.978032,8,장치·기계 조작 및 조립 종사자,contains:조작원,
목 공예원,68,6.8e-05,0.9781,other,기타/검토,no_rule,yes
한복 제조원,67,6.7e-05,0.978167,other,기타/검토,no_rule,yes
가스 관련 관리자,67,6.7e-05,0.978234,1,관리자,contains:관리자,
어업 시험원,67,6.7e-05,0.978301,6,농림·어업 숙련 종사자,contains:어업,
"전직 대형 화물차 운전원, 현재 구직중",66,6.6e-05,0.978367,unemployed,무직/비경제활동,contains:구직중,
