occupation,count,share,cumulative_share,ksco_major_code,ksco_major_label,rule_hit,confidence,needs_review,previous_code,previous_rule_hit,rationale
물리학 시험원,31,3.1e-05,0.990524,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
전기케이블 접속원,30,3e-05,0.99074,7,??? ? ?? ?? ???,v3:접속원,medium,yes,other,no_rule,craft/construction/manufacturing skilled
석재 절단원,30,3e-05,0.9908,7,??? ? ?? ?? ???,v3:절단원,medium,yes,other,no_rule,craft/construction/manufacturing skilled
광원,30,3e-05,0.99101,7,??? ? ?? ?? ???,v3:광원,medium,yes,other,no_rule,craft/construction/manufacturing skilled
환경 영향 시험원,28,2.8e-05,0.991469,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
건설자재 시험원,28,2.8e-05,0.991609,7,??? ? ?? ?? ???,kept:contains:건설,medium,yes,7,contains:건설,kept from draft; no stronger correction rule
가죽 패턴사,28,2.8e-05,0.991665,7,??? ? ?? ?? ???,v2:패턴사,high,yes,other,no_rule,craft/construction/manufacturing skilled
임업 시험원,27,2.7e-05,0.991832,6,????? ?? ???,kept:contains:임업,medium,yes,6,contains:임업,kept from draft; no stronger correction rule
돼지 사육자,27,2.7e-05,0.991859,6,????? ?? ???,v3:사육자,medium,yes,other,no_rule,agriculture/livestock skilled
그 외 전문 서비스 관리자,26,2.6e-05,0.992072,1,???,kept:contains:관리자,medium,yes,1,contains:관리자,kept from draft; no stronger correction rule
조율사,26,2.6e-05,0.992176,7,??? ? ?? ?? ???,v3:조율사,medium,yes,other,no_rule,craft/construction/manufacturing skilled
그 외 작가,26,2.6e-05,0.992228,2,??? ? ?? ???,v2:작가,high,yes,other,no_rule,professional/associate professional
대학교 총장 및 대학 학장,26,2.6e-05,0.99228,1,???,v3:총장,medium,yes,other,no_rule,manager/executive/institution head
만화가,26,2.6e-05,0.992332,2,??? ? ?? ???,v3:만화가,medium,yes,other,no_rule,professional/sports/arts/religion/social guidance
그 외 수선원,26,2.6e-05,0.992358,7,??? ? ?? ?? ???,v2:수선원,high,yes,other,no_rule,craft/construction/manufacturing skilled
가구 제조원,26,2.6e-05,0.992384,7,??? ? ?? ?? ???,v2:제조원,high,yes,other,no_rule,craft/construction/manufacturing skilled
그 외 목제품 제조 관련 종사원,26,2.6e-05,0.992436,7,??? ? ?? ?? ???,v3:제조 관련 종사원,medium,yes,other,no_rule,craft/construction/manufacturing skilled
환경 감시원,25,2.5e-05,0.992486,4,??? ???,v3:환경 감시원,medium,yes,other,no_rule,service/care/monitoring/rental
그 외 연극·영화 및 영상 관련 종사원,25,2.5e-05,0.992686,2,??? ? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
항공교통 관제사,25,2.5e-05,0.992761,2,??? ? ?? ???,v3:관제사,medium,yes,other,no_rule,professional/sports/arts/religion/social guidance
소품 관리원,24,2.4e-05,0.992956,2,??? ? ?? ???,kept:suffix:관리원,medium,yes,2,suffix:관리원,kept from draft; no stronger correction rule
배우,24,2.4e-05,0.993028,2,??? ? ?? ???,v3:배우,medium,yes,other,no_rule,professional/sports/arts/religion/social guidance
건축가,24,2.4e-05,0.993076,2,??? ? ?? ???,v3:건축가,medium,yes,other,no_rule,professional/sports/arts/religion/social guidance
보조 연기자,23,2.3e-05,0.993379,2,??? ? ?? ???,v2:기자,high,yes,other,no_rule,professional/associate professional
건강원 및 탕제원 종사원,20,2e-05,0.99397,7,??? ? ?? ?? ???,v3fix:craft/production/manual skilled,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
방송 및 영화연출 보조원,20,2e-05,0.99399,3,?? ???,kept:suffix:보조원,medium,yes,3,suffix:보조원,kept from draft; no stronger correction rule
채석원,20,2e-05,0.99401,7,??? ? ?? ?? ???,v3fix:craft/production/manual skilled,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
혼례 종사원,19,1.9e-05,0.994248,4,??? ???,v3fix:service/enforcement work,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
시트 제품 제조원,19,1.9e-05,0.994324,7,??? ? ?? ?? ???,v2:제조원,high,yes,other,no_rule,craft/construction/manufacturing skilled
성악가,19,1.9e-05,0.994362,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
모피 패턴사,19,1.9e-05,0.994438,7,??? ? ?? ?? ???,v2:패턴사,high,yes,other,no_rule,craft/construction/manufacturing skilled
로봇공학 시험원,19,1.9e-05,0.99459,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
그 외 오락시설 서비스원,18,1.8e-05,0.99488,4,??? ???,kept:contains:서비스,medium,yes,4,contains:서비스,kept from draft; no stronger correction rule
투자 인수 심사원,18,1.8e-05,0.994898,3,?? ???,v3fix:clerical/inspection record work,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
무용가,17,1.7e-05,0.994933,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
그 외 재봉사,17,1.7e-05,0.99495,7,??? ? ?? ?? ???,v3:재봉사,medium,yes,other,no_rule,craft/construction/manufacturing skilled
초등학교 교장 및 교감,17,1.7e-05,0.995052,1,???,v3fix:institution/political manager,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
가죽 및 모피 재봉사,17,1.7e-05,0.995188,7,??? ? ?? ?? ???,v3:재봉사,medium,yes,other,no_rule,craft/construction/manufacturing skilled
도료제품 시험원,17,1.7e-05,0.995256,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
목재케이스 및 나무상자 제조원,16,1.6e-05,0.995352,7,??? ? ?? ?? ???,v2:제조원,high,yes,other,no_rule,craft/construction/manufacturing skilled
송배전설비 전기원,16,1.6e-05,0.995464,7,??? ? ?? ?? ???,v2:전기원,high,yes,other,no_rule,craft/construction/manufacturing skilled
천일염 생산 종사원,15,1.5e-05,0.99557,7,??? ? ?? ?? ???,v3fix:craft/production/manual skilled,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
그 외 시각 및 공연 예술가,14,1.4e-05,0.995904,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
대기 환경 시험원,14,1.4e-05,0.995946,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
토양 환경 시험원,14,1.4e-05,0.995988,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
집행관,14,1.4e-05,0.996058,3,?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
그 외 패턴사,13,1.3e-05,0.996127,7,??? ? ?? ?? ???,v2:패턴사,high,yes,other,no_rule,craft/construction/manufacturing skilled
도서 및 영상 기록 매체 대여원,13,1.3e-05,0.996179,4,??? ???,v3:대여원,medium,yes,other,no_rule,service/care/monitoring/rental
소아청소년과 전문 의사,13,1.3e-05,0.996257,2,??? ? ?? ???,kept:suffix:의사,medium,yes,2,suffix:의사,kept from draft; no stronger correction rule
중·고등학교 교장 및 교감,13,1.3e-05,0.99627,1,???,v3fix:institution/political manager,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
헬리콥터 조종사,12,1.2e-05,0.996474,8,????? ?? ? ?? ???,v3fix:vehicle/aircraft operator,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
가수,12,1.2e-05,0.996486,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
그 외 재단사,12,1.2e-05,0.99651,7,??? ? ?? ?? ???,v2:재단사,high,yes,other,no_rule,craft/construction/manufacturing skilled
개그맨 및 코미디언,12,1.2e-05,0.996522,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
청소 관련 관리자,12,1.2e-05,0.996546,1,???,kept:contains:관리자,medium,yes,1,contains:관리자,kept from draft; no stronger correction rule
도자기 공예원,12,1.2e-05,0.996762,7,??? ? ?? ?? ???,v2:공예원,high,yes,other,no_rule,craft/construction/manufacturing skilled
그 외 아나운서 및 리포터,11,1.1e-05,0.996873,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
그 외 상품 대여원,11,1.1e-05,0.996917,4,??? ???,v3:대여원,medium,yes,other,no_rule,service/care/monitoring/rental
지방의회 의원 및 교육 의원,11,1.1e-05,0.997027,1,???,v3fix:institution/political manager,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
인력 공급 및 알선 서비스 관리자,11,1.1e-05,0.997071,1,???,kept:contains:관리자,medium,yes,1,contains:관리자,kept from draft; no stronger correction rule
곡식작물 재배원,10,1e-05,0.997112,6,????? ?? ???,v3:재배원,medium,yes,other,no_rule,agriculture/livestock skilled
자동차 대여원,10,1e-05,0.997132,4,??? ???,v3:대여원,medium,yes,other,no_rule,service/care/monitoring/rental
연주가,9,9e-06,0.997409,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
화훼작물 재배원,9,9e-06,0.997436,6,????? ?? ???,v3:재배원,medium,yes,other,no_rule,agriculture/livestock skilled
제화원,9,9e-06,0.997544,7,??? ? ?? ?? ???,v3fix:craft/production/manual skilled,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
요금 정산원,9,9e-06,0.997724,3,?? ???,v3fix:clerical/inspection record work,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
교통영향 평가원,8,8e-06,0.997876,2,??? ? ?? ???,v3:평가원,medium,yes,other,no_rule,professional/sports/arts/religion/social guidance
국악인,7,7e-06,0.998156,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
지구 및 기상 과학 시험원,7,7e-06,0.998212,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
지방정부 고위 공무원,7,7e-06,0.998247,1,???,v3:고위 공무원,medium,yes,other,no_rule,manager/executive/institution head
육묘작물 재배원,7,7e-06,0.998394,6,????? ?? ???,v3:재배원,medium,yes,other,no_rule,agriculture/livestock skilled
생활용품 대여원,6,6e-06,0.998456,4,??? ???,v3:대여원,medium,yes,other,no_rule,service/care/monitoring/rental
가금 사육자,6,6e-06,0.998528,6,????? ?? ???,v3:사육자,medium,yes,other,no_rule,agriculture/livestock skilled
의복 재단사,6,6e-06,0.998558,7,??? ? ?? ?? ???,v2:재단사,high,yes,other,no_rule,craft/construction/manufacturing skilled
그 외 양식원,6,6e-06,0.998636,6,????? ?? ???,v3fix:aquaculture skilled,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
채소작물 재배원,6,6e-06,0.998642,6,????? ?? ???,v3:재배원,medium,yes,other,no_rule,agriculture/livestock skilled
담배 등급원,6,6e-06,0.998666,3,?? ???,v3fix:clerical/inspection record work,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
천문 및 우주 과학 시험원,6,6e-06,0.998696,2,??? ? ?? ???,v2:시험원,high,yes,other,no_rule,professional/associate professional
모델,6,6e-06,0.998714,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
주차 단속원,6,6e-06,0.99878,4,??? ???,v3fix:service/enforcement work,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
스크립터,6,6e-06,0.998786,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
안무가,5,5e-06,0.998808,2,??? ? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
아나운서,5,5e-06,0.998823,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
해녀,5,5e-06,0.998853,6,????? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
성우,5,5e-06,0.998868,2,??? ? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
신발 재봉사,5,5e-06,0.998883,7,??? ? ?? ?? ???,v3:재봉사,medium,yes,other,no_rule,craft/construction/manufacturing skilled
모피 및 가죽 의복 제조원,4,4e-06,0.999056,7,??? ? ?? ?? ???,v2:제조원,high,yes,other,no_rule,craft/construction/manufacturing skilled
관세사,4,4e-06,0.99924,2,??? ? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
모자 제조원,3,3e-06,0.999342,7,??? ? ?? ?? ???,v2:제조원,high,yes,other,no_rule,craft/construction/manufacturing skilled
국악 연주가,3,3e-06,0.999453,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
그 외 사육 관련 종사원,3,3e-06,0.999495,6,????? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
도선사,3,3e-06,0.999522,8,????? ?? ? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
사무용품 대여원,3,3e-06,0.999594,4,??? ???,v3:대여원,medium,yes,other,no_rule,service/care/monitoring/rental
원근해 어부,2,2e-06,0.999637,6,????? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
육우 사육자,2,2e-06,0.999725,6,????? ?? ???,v3:사육자,medium,yes,other,no_rule,agriculture/livestock skilled
그 외 가축 사육 종사원,2,2e-06,0.999777,6,????? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
내수면 어부,2,2e-06,0.999817,6,????? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
국회의원,2,2e-06,0.999839,1,???,v3fix:institution/political manager,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
어패류 양식원,2,2e-06,0.999841,6,????? ?? ???,v3fix:aquaculture skilled,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
젖소 사육자,1,1e-06,0.999878,6,????? ?? ???,v3:사육자,medium,yes,other,no_rule,agriculture/livestock skilled
해조류 양식원,1,1e-06,0.999891,6,????? ?? ???,v3fix:aquaculture skilled,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
리포터,1,1e-06,0.999911,2,??? ? ?? ???,v3fix:arts/media/education professional,medium,yes,other,no_rule,manual cleanup of low-confidence fallback
판촉원,1,1e-06,0.999925,5,?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
동물 부화원,1,1e-06,0.999965,6,????? ?? ???,v3fix:final low cleanup,medium,yes,other,no_rule,manual cleanup of remaining tiny-tail fallback
